"","ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"1","600519.SH","20201231",1941,1998.98,1939,1998,1933,65,3.3626,38860.07,7682300.728
"2","600519.SH","20201230",1870,1933,1869.99,1933,1867,66,3.5351,34452.1,6604461.376
"3","600519.SH","20201229",1873,1886.8,1855,1867,1873,-6,-0.3203,22867.59,4275994.834
"4","600519.SH","20201228",1826.6,1888.8,1826.05,1873,1830,43,2.3497,30080.37,5616528.738
"5","600519.SH","20201225",1802.99,1847,1800,1830,1830.34,-0.34,-0.0186,23088.05,4218997.634
"6","600519.SH","20201224",1818,1858.88,1795.02,1830.34,1841.65,-11.31,-0.6141,37857.14,6921989.374
"7","600519.SH","20201223",1897.99,1906.2,1821.02,1841.65,1881,-39.35,-2.092,47706.09,8901002.262
"8","600519.SH","20201222",1849.97,1898.99,1842.51,1881,1842.5,38.5,2.0896,40650.6,7618583.444
"9","600519.SH","20201221",1840,1851.23,1837.6,1842.5,1845,-2.5,-0.1355,30696.72,5663526.809
"10","600519.SH","20201218",1851.81,1869.01,1841.08,1845,1865.51,-20.51,-1.0994,27076.98,5020968.993
"11","600519.SH","20201217",1845.5,1868,1840,1865.51,1840,25.51,1.3864,36030.64,6683421.886
"12","600519.SH","20201216",1830.5,1845.67,1820.21,1840,1816.01,23.99,1.321,32150.16,5901298.275
"13","600519.SH","20201215",1833.5,1837.22,1805,1816.01,1829,-12.99,-0.7102,29604.97,5383582.284
"14","600519.SH","20201214",1827.77,1829.98,1815,1829,1820,9,0.4945,33052,6026813.428
"15","600519.SH","20201211",1834.78,1837.32,1804.81,1820,1832.9,-12.9,-0.7038,30775.79,5595359.665
"16","600519.SH","20201210",1840,1849.77,1828,1832.9,1840,-7.1,-0.3859,32653.54,6009239.911
"17","600519.SH","20201209",1865.95,1866,1839,1840,1850,-10,-0.5405,31152.12,5766037.609
"18","600519.SH","20201208",1815,1875,1813,1850,1812.4,37.6,2.0746,61454,11333352.154
"19","600519.SH","20201207",1802.7,1840.39,1800.55,1812.4,1793.11,19.29,1.0758,58331.33,10617305.104
"20","600519.SH","20201204",1752,1800.1,1752,1793.11,1749,44.11,2.522,62491.19,11176048.847
"21","600519.SH","20201203",1738.01,1755.66,1732.1,1749,1738.01,10.99,0.6323,29505.78,5147357.781
"22","600519.SH","20201202",1746,1749,1731,1738.01,1737,1.01,0.0581,23571.69,4101369.306
"23","600519.SH","20201201",1726,1738.99,1720.01,1737,1713.91,23.09,1.3472,28196.2,4891829.153
"24","600519.SH","20201130",1735,1738.9,1713.91,1713.91,1737.9,-23.99,-1.3804,31940.07,5520322.173
"25","600519.SH","20201127",1732.66,1740.03,1718,1737.9,1734.39,3.51,0.2024,21568.61,3737697.985
